Date,FileName,Control,Claim_ct,x12Partner
20231108,2023-11-08-084735-batch.txt,000846743,1,
20240122,2024-01-22-085554-batch.txt,000473408,1,
20240123,2024-01-23-100532-batch.txt,000324395,1,
20260113,2026-01-13-094931-batch-p41.txt,000000027,1,
20260114,2026-01-14-111839-batch-p41.txt,000000031,1,
20260113,2026-01-13-094621-batch-p41.txt,000000023,1,
20240125,2024-01-25-095850-batch.txt,000000001,1,
20260528,2026-05-28-110548-batch-p41.txt,000000053,1,
20260528,2026-05-28-110217-batch-p41.txt,000000049,1,
20260601,2026-06-01-104841-batch-p41.txt,000000073,3,
20260128,2026-01-28-091858-batch-p41.txt,000000043,1,
20260529,2026-05-29-111707-batch-p41.txt,000000065,1,
20260128,2026-01-28-091845-batch-p41.txt,000000039,1,
20260529,2026-05-29-111715-batch-p41.txt,000000069,1,
